author,local_guide_info,rating,review,date_text,text_backup
Vanesa Tatil,Local Guide · 41 reseñas · 324 fotos,5 estrellas,"Era la primera vez que íbamos y nos encantó TODO.
Tanto el local, que tiene un encanto especial, como la comida, que estaba deliciosa, y el personal, súper atento en todo momento, pero sobre todo Adrián que fue quien nos atendió.
Volveremos para probar el resto de la carta.
Enhorabuena!",Hace 10 meses,"Vanesa Tatil
Local Guide · 41 reseñas · 324 fotos






Hace 10 meses
Era la primera vez que íbamos y nos encantó TODO.
Tanto el local, que tiene un encanto especial, como la comida, que estaba deliciosa, y el personal, súper atento en todo momento, pero sobre todo Adrián que fue quien nos atendió.
Volveremos para probar el resto de la carta.
Enhorabuena!
Servicio
Comí allí
Tipo de comida
Comida
Precio por persona
20-30 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Hamburguesa Completa Con Huevo, Hamburguesa Italiana y Gofres
5 más

Me gusta

Compartir"
jesus maría ortiz,23 reseñas · 30 fotos,2 estrellas,"Mi opinión es parcial y referida a mi experiencia con un menú diario en terraza de calle, por lo que no critico otras buenas opiniones sobre el local. En mi caso, mucha tardanza en el servicio, platos mini (con poquita comida), para  los 14€ que cuesta. Y cómoda normal sin gran elaboración. La macedonia de postre en un ""dedal"" (casi ni cabe la cucharilla de café). Como ejemplo de la escasez, al igual que los otros platos en mini-bol.",Hace 4 meses,"jesus maría ortiz
23 reseñas · 30 fotos






Hace 4 meses
Mi opinión es parcial y referida a mi experiencia con un menú diario en terraza de calle, por lo que no critico otras buenas opiniones sobre el local. En mi caso, mucha tardanza en el servicio, platos mini (con poquita comida), para  los 14€ que cuesta. Y cómoda normal sin gran elaboración. La macedonia de postre en un ""dedal"" (casi ni cabe la cucharilla de café). Como ejemplo de la escasez, al igual que los otros platos en mini-bol.
Comida: 3
Servicio: 2
Ambiente: 4

Me gusta

Compartir
Respuesta del propietario Hace 3 meses
Hola Jesús, gracias por trasladarnos tu reseña. Sentimos la demora en el servicio y lamentamos que no te quedases satisfecho con las cantidades en el menú del día. Tomamos nota de tu reseña para trabajar estos aspectos del servicio. Muchas gracias."
Emma Doe,Local Guide · 74 reseñas · 82 fotos,5 estrellas,Fui por casualidad con unos amigos... me encantó!! Las hamburguesas son un espectáculo y saben hacer de verdad el punto de la carne! Los aros de cebolla y las croquetas de carabinero... hasta luego!!! Qué ricas!! El servicio majísimo y simpáticos de verdad! Experiencia recomendadísima!,Hace 8 meses,"Emma Doe
Local Guide · 74 reseñas · 82 fotos






Hace 8 meses
Fui por casualidad con unos amigos... me encantó!! Las hamburguesas son un espectáculo y saben hacer de verdad el punto de la carne! Los aros de cebolla y las croquetas de carabinero... hasta luego!!! Qué ricas!! El servicio majísimo y simpáticos de verdad! Experiencia recomendadísima!
Servicio
Comí allí
Tipo de comida
Cena
Precio por persona
20-30 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Hamburguesa Mexicana, Aros de Cebolla, Flan de Queso, Croquetas, Gofre Con Nocilla, Gran Burger, Hamburguesa Italiana y Gofres

Me gusta

Compartir"
german mairen,Local Guide · 136 reseñas · 262 fotos,5 estrellas,"Un clásico en la zona de Chamberí.

PROS: las hamburguesas están genial, tienen terraza y tienen platos sabores también (que además están buenos). Los camareros son muy majos y el servicio es rápido.

CONS: Han quitado las gyozas, lo que me parece fatal. Por lo demás, guay.",Hace 11 meses,"german mairen
Local Guide · 136 reseñas · 262 fotos






Hace 11 meses
Un clásico en la zona de Chamberí.

PROS: las hamburguesas están genial, tienen terraza y tienen platos sabores también (que además están buenos). Los camareros son muy majos y el servicio es rápido.

CONS: Han quitado las gyozas, lo que me parece fatal. Por lo demás, guay.

1

Compartir"
Bárbara Fernández,Local Guide · 445 reseñas · 2.612 fotos,5 estrellas,"Mayo, 2024.-
Nah, muy bien, como siempre. No me canso de ir siempre que me apetece una hamburguesa o un buen sándwich. Además, ahora se está genial en la terraza y los camareros siguen siendo de lo más majo que hay en la zona... 🤗

Las hamburguesas están buenísimas y los postres son caseros. La música de ambiente es maravillosa.
Recomendación: Cheeseburguer (pero con el queso normal en vez de en teja)",Hace 4 meses,"Bárbara Fernández
Local Guide · 445 reseñas · 2.612 fotos






Hace 4 meses
Mayo, 2024.-
Nah, muy bien, como siempre. No me canso de ir siempre que me apetece una hamburguesa o un buen sándwich. Además, ahora se está genial en la terraza y los camareros siguen siendo de lo más majo que hay en la zona... 🤗

Las hamburguesas están buenísimas y los postres son caseros. La música de ambiente es maravillosa.
Recomendación: Cheeseburguer (pero con el queso normal en vez de en teja)
Comida: 4
Servicio: 5
Ambiente: 4
4 más

Me gusta

Compartir
Respuesta del propietario Hace 3 años
Nos encanta leerte, pero mucho más verte <3"
Virginia Rey,Local Guide · 102 reseñas · 74 fotos,1 estrella,"La comida me resultó bastante mala. Los canelones parecían de cartón. La carne del interior tenía una textura rara.

Además el espacio no era muy cómodo. Los manteles de tela de las mesas se pegaban a tu ropa y a la mínima que te movías podías llevártelo. Las mesas también son enanas... No es muy cómodo, la verdad.",Hace un mes,"Virginia Rey
Local Guide · 102 reseñas · 74 fotos






Hace un mes
La comida me resultó bastante mala. Los canelones parecían de cartón. La carne del interior tenía una textura rara.

Además el espacio no era muy cómodo. Los manteles de tela de las mesas se pegaban a tu ropa y a la mínima que te movías podías llevártelo. Las mesas también son enanas... No es muy cómodo, la verdad.
Servicio
Comí allí
Tipo de comida
Comida
Precio por persona
10-20 €
Comida: 1
Servicio: 4
Ambiente: 1

Me gusta

Compartir"
José,5 reseñas,5 estrellas,"El lugar está ambientado tanto para ir con la pareja, los amigos o la familia, la música buena y la comida tiene un sabor original y propio. La hamburguesa italiana altamemte recomendable y la tarta de limón está que se sale. Encima la atención al público que he visto es de 10, en nuestro caso nos atendió Fernanda y además de atenta supo recomendarnos. Muy contentos con el sitio",Hace un mes,"José
5 reseñas






Hace un mes
El lugar está ambientado tanto para ir con la pareja, los amigos o la familia, la música buena y la comida tiene un sabor original y propio. La hamburguesa italiana altamemte recomendable y la tarta de limón está que se sale. Encima la atención al público que he visto es de 10, en nuestro caso nos atendió Fernanda y además de atenta supo recomendarnos. Muy contentos con el sitio
Servicio
Comí allí
Tipo de comida
Cena
Precio por persona
20-30 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Hamburguesa Italiana

Me gusta

Compartir"
Ana Asensio Pardo,35 reseñas · 5 fotos,5 estrellas,"Nos ha encantado! Muy buena comida, amplia oferta, precios justos y local especial de época. Las hamburguesas brutales! Me quedo con ganas de volver a probar más cosas. Estupendo también el menú diario",Hace 2 meses,"Ana Asensio Pardo
35 reseñas · 5 fotos






Hace 2 meses
Nos ha encantado! Muy buena comida, amplia oferta, precios justos y local especial de época. Las hamburguesas brutales! Me quedo con ganas de volver a probar más cosas. Estupendo también el menú diario
Servicio
Comí allí
Tipo de comida
Comida
Precio por persona
10-20 €
Platos recomendados
Grandburguer HD y Hamburger

Me gusta

Compartir"
Mateus Luceid,34 reseñas,2 estrellas,"Entramos con el local practicamente vacio.
Según nos sentamos a mirar la carta ya teniamos encima a la camarera, con cara de pocos amigos, preguntando ""que vamos a tomar""
Viene al rato. Molesta si le preguntamos sobre la carta. Toma nota a mi acompañante y pregunta ""si solo va a ser eso"" Nos levantamos y nos fuimos.
No pretendo que me den un servicio especial. Pero para que te traten como si molestaras, prefiero irme a otro sitio. Nadie tiene la culpa de que la camarera tenga un mal día u odie su trabajo",hace 4 días,"Mateus Luceid
34 reseñas






hace 4 días
NUEVA
Entramos con el local practicamente vacio.
Según nos sentamos a mirar la carta ya teniamos encima a la camarera, con cara de pocos amigos, preguntando ""que vamos a tomar""
Viene al rato. Molesta si le preguntamos sobre la carta. Toma nota a mi acompañante y pregunta ""si solo va a ser eso"" Nos levantamos y nos fuimos.
No pretendo que me den un servicio especial. Pero para que te traten como si molestaras, prefiero irme a otro sitio. Nadie tiene la culpa de que la camarera tenga un mal día u odie su trabajo
Comida: 3
Servicio: 1
Ambiente: 4

Me gusta

Compartir"
María de los Ángeles Santa Cecilia Garcia,80 reseñas · 15 fotos,3 estrellas,"Tenía cierta reticencia a entrar, ya que es una cafetería de los años 60-70 que sigue igual que entonces, pero con camareros mas jóvenes, amables y guapos, que los que había por aquel entonces.
Una vez dentro, he comprobado que efectivamente conserva aquel ambiente en la decoración y mobiliario. El publico, era de familias  y gente joven en general.
Se acabó esa cafetería aburrida de las tardes con un café compartido por parejitas, que ahorraban para comprarse el pisito y los muebles, matrimonios mayores del barrio y señoras amas de casa que alternaban por las tardes con vecinas o amigas y consumían manzanilla, cafés y chocolate con churros.

La comida, abundante, y las hamburguesas eran contundentes y bien preparadas. Aunque la carne se puede mejorar.

Me ha vuelto al pasado estar allí hoy,  y que curioso, me he sentido cómoda, como en casa.",Hace 10 meses,"María de los Ángeles Santa Cecilia Garcia
80 reseñas · 15 fotos






Hace 10 meses
Tenía cierta reticencia a entrar, ya que es una cafetería de los años 60-70 que sigue igual que entonces, pero con camareros mas jóvenes, amables y guapos, que los que había por aquel entonces.
Una vez dentro, he comprobado que efectivamente conserva aquel ambiente en la decoración y mobiliario. El publico, era de familias  y gente joven en general.
Se acabó esa cafetería aburrida de las tardes con un café compartido por parejitas, que ahorraban para comprarse el pisito y los muebles, matrimonios mayores del barrio y señoras amas de casa que alternaban por las tardes con vecinas o amigas y consumían manzanilla, cafés y chocolate con churros.

La comida, abundante, y las hamburguesas eran contundentes y bien preparadas. Aunque la carne se puede mejorar.

Me ha vuelto al pasado estar allí hoy,  y que curioso, me he sentido cómoda, como en casa.
Comida: 2
Servicio: 5
Ambiente: 3

Me gusta

Compartir"
Fernanda Cordero Salas,Local Guide · 33 reseñas · 104 fotos,5 estrellas,"Siguiendo recomendaciones decidí visitar hoy Domingo el lugar.
Lo recomiendo 100%.

•Burrata con puerros
•Hamburguesa italiana (con mozzarella rebozada)
•Aperol Spritz y Pisco Sour preparados por Miguel.

No pudimos hacer mejor mezcla. Todo espectacular.

Atención de 10 por parte del equipo, Luis y Brenda  amables, eficientes y muy profesionales.",Hace 8 meses,"Fernanda Cordero Salas
Local Guide · 33 reseñas · 104 fotos






Hace 8 meses
Siguiendo recomendaciones decidí visitar hoy Domingo el lugar.
Lo recomiendo 100%.

•Burrata con puerros
•Hamburguesa italiana (con mozzarella rebozada)
•Aperol Spritz y Pisco Sour preparados por Miguel.

No pudimos hacer mejor mezcla. Todo espectacular.

Atención de 10 por parte del equipo, Luis y Brenda  amables, eficientes y muy profesionales.
Servicio
Comí allí
Tipo de comida
Cena
Precio por persona
20-30 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Sándwich de Pollo Frito, Hamburguesa Completa Con Huevo, Hamburguesa Con Huevo, Tarta de Manzana, Gran Burger, Hamburguesa Italiana, Hamburguesa Americana y Tataki de Atún

1

Compartir"
Sandra Martínez,13 reseñas · 7 fotos,4 estrellas,"Un lugar típico de Madrid con un toque moderno. El lugar es agradable y está muy cuidado a pesar de tener casi 60 años. La comida está muy buena, aunque el precio es algo elevado (por eso solo 4 estrellas). Tiene mucha variedad en la carta. Fuimos a desayunar y todo estaba muy rico. Lo mejor es el trato de los camareros, muy atentos, agradables y sonrientes durante todo el tiempo.",Hace 2 años,"Sandra Martínez
13 reseñas · 7 fotos






Hace 2 años
Un lugar típico de Madrid con un toque moderno. El lugar es agradable y está muy cuidado a pesar de tener casi 60 años. La comida está muy buena, aunque el precio es algo elevado (por eso solo 4 estrellas). Tiene mucha variedad en la carta. Fuimos a desayunar y todo estaba muy rico. Lo mejor es el trato de los camareros, muy atentos, agradables y sonrientes durante todo el tiempo.

1

Compartir"
Mafalda Ramos,Local Guide · 241 reseñas · 635 fotos,5 estrellas,"Una agradable sorpresa! La hamburguesa estaba muy rica, en mi opinión, de las mejores que probé en madrid. Además la cuenta también fue una sorpresa ya que lo precios son bastante accesibles.",Hace un año,"Mafalda Ramos
Local Guide · 241 reseñas · 635 fotos






Hace un año
Una agradable sorpresa! La hamburguesa estaba muy rica, en mi opinión, de las mejores que probé en madrid. Además la cuenta también fue una sorpresa ya que lo precios son bastante accesibles.

Me gusta

Compartir"
Alber Carnero,Local Guide · 120 reseñas · 696 fotos,5 estrellas,"Lugar clásico, con encanto.
Buen ambiente y personal simpático.
Las hamburguesas son clásicas pero contundentes, buena calidad y buen producto.
La experiencia completa; lugar, servicio y comida hace que le demos un 5.
Para volver!",Hace un año,"Alber Carnero
Local Guide · 120 reseñas · 696 fotos






Hace un año
Lugar clásico, con encanto.
Buen ambiente y personal simpático.
Las hamburguesas son clásicas pero contundentes, buena calidad y buen producto.
La experiencia completa; lugar, servicio y comida hace que le demos un 5.
Para volver!
2 más

1

Compartir"
Sara ST,Local Guide · 38 reseñas · 6 fotos,5 estrellas,"El ambiente es muy bueno, el local es precioso y tiene un toque muy especial.
Todos los camareros son super amables, sonrientes y la atención es espectacular.
Super recomendable calidad precio y os invito a probar la limonada! Super deliciosa 😋🥛🍋
Muchas gracias! Volveré",Hace 6 meses,"Sara ST
Local Guide · 38 reseñas · 6 fotos






Hace 6 meses
El ambiente es muy bueno, el local es precioso y tiene un toque muy especial.
Todos los camareros son super amables, sonrientes y la atención es espectacular.
Super recomendable calidad precio y os invito a probar la limonada! Super deliciosa 😋🥛🍋
Muchas gracias! Volveré
Servicio
Comí allí
Tipo de comida
Otro
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
Martuka García Alvarez,Local Guide · 894 reseñas · 9.473 fotos,5 estrellas,"Cafetería emblemática madrileña abierta por los Hermanos Díez en 1962. Cerró y se la quedó el Grupo La Musa, manteniendo su aire años 70 y su carta de cafetería tradicional. Ya había ido en otras ocasiones. Entonces pedimos croquetas y las hamburguesas con pan de cerveza, estupendas.
Ahora (diciembre 2022) cenamos burger 🍔 italiana con mozzarella empanada, carne deliciosa y tomates 🍅 asados con mayo de trufa. También un buenísimo sándwich 🥪 Club con su bacon 🥓, pollo, lechuga 🥬…
Y un sándwich 🥪 de pollo empanado con queso muy original al estar sobre pan blanco sin tostar. Muy amable el servicio y ágil.
Precio: 44€ con bebida, tres personas.",Hace 5 meses,"Martuka García Alvarez
Local Guide · 894 reseñas · 9.473 fotos






Hace 5 meses
Cafetería emblemática madrileña abierta por los Hermanos Díez en 1962. Cerró y se la quedó el Grupo La Musa, manteniendo su aire años 70 y su carta de cafetería tradicional. Ya había ido en otras ocasiones. Entonces pedimos croquetas y las hamburguesas con pan de cerveza, estupendas.
Ahora (diciembre 2022) cenamos burger 🍔 italiana con mozzarella empanada, carne deliciosa y tomates 🍅 asados con mayo de trufa. También un buenísimo sándwich 🥪 Club con su bacon 🥓, pollo, lechuga 🥬…
Y un sándwich 🥪 de pollo empanado con queso muy original al estar sobre pan blanco sin tostar. Muy amable el servicio y ágil.
Precio: 44€ con bebida, tres personas.
Servicio
Comí allí
Tipo de comida
Cena
Precio por persona
10-20 €
Comida: 5
Servicio: 4
Ambiente: 5
Platos recomendados
Sándwich de Pollo Frito y Hamburguesa Francesa
11 más

Me gusta

Compartir"
Sergio Tobares Leguizamón,9 reseñas · 8 fotos,5 estrellas,"EXCELENTE
El templo de Madrid.
Un lugar excelente, comida rica rica, fresco todo, las hamburguesas te llevan al cielo literal, los cócteles son nivel Diossssssss.
El Staff son súper amables y profesionales, amables y simpáticos , es uno de mis lugares preferidos del mundo en Madrid.
Una mención especial para Maxi, Ester y Will son unos capos!!!!
1000% recomendables",Hace un año,"Sergio Tobares Leguizamón
9 reseñas · 8 fotos






Hace un año
EXCELENTE
El templo de Madrid.
Un lugar excelente, comida rica rica, fresco todo, las hamburguesas te llevan al cielo literal, los cócteles son nivel Diossssssss.
El Staff son súper amables y profesionales, amables y simpáticos , es uno de mis lugares preferidos del mundo en Madrid.
Una mención especial para Maxi, Ester y Will son unos capos!!!!
1000% recomendables
2 más

Me gusta

Compartir"
Carlos V. G.,Local Guide · 612 reseñas · 2.394 fotos,4 estrellas,"Buen local con terraza. Las hamburguesas están bastante bien y dejan el punto adecuado según le indicas. Los postres, como la tarta de manzana y el brownie, estaban muy buenos.",Hace 3 años,"Carlos V. G.
Local Guide · 612 reseñas · 2.394 fotos






Hace 3 años
Buen local con terraza. Las hamburguesas están bastante bien y dejan el punto adecuado según le indicas. Los postres, como la tarta de manzana y el brownie, estaban muy buenos.

Me gusta

Compartir"
Silvia Díaz,9 reseñas · 11 fotos,5 estrellas,"Hemos disfrutado de una comida en familia. El servicio es excelente! Los camareros/as son súper atentos y agradables. Comimos menú del día y nos encantó. Platos caseros muy ricos.
¡Volveremos a probar sus hamburguesas!",Hace 2 meses,"Silvia Díaz
9 reseñas · 11 fotos






Hace 2 meses
Hemos disfrutado de una comida en familia. El servicio es excelente! Los camareros/as son súper atentos y agradables. Comimos menú del día y nos encantó. Platos caseros muy ricos.
¡Volveremos a probar sus hamburguesas!
Servicio
Comí allí
Tipo de comida
Comida
Precio por persona
10-20 €
Comida: 5
Servicio: 5
Ambiente: 5

Me gusta

Compartir"
Juan Galpin,Local Guide · 978 reseñas · 8.745 fotos,5 estrellas,"WoW! Este establecimiento es de los más especiales de todo Madrid!!! Debe su nombre a los propietarios fundadores Hermanos Díez (HD)

Situado en la calle de Guzmán el Bueno en el barrio de Argüelles, pertenece al grupo ""La Musa"": Limbo, Ojalá, Run Run Run, La Musa (casi nada, es un grupo muy potente), pero este es especial. Es especial porque han conservado un bar clásico fundado en 1962 con la decoración de la época (suelos, madera, la barra, paredes y hasta una tele echando películas antiguas, ..., parece todo salido de Cuéntame), pero vitaminado, más bien con esteroides, anabolizantes, ...

Con una sola reseña no es suficiente, el pincho de tortilla magnífico (8,5/10), pero es que deben poner una de las mejores hamburguesas (gourmet) de todo Madrid, desayunos de tipo americano, tortitas, gofres, postres, menú del día, etc ...

Si te puedes sentar en el sillón como yo delante de los antiguos ventanales, observando el ajetreo del establecimiento, con los ventiladores de techo abanicándote y escuchando la preciosa música pop española, es una experiencia muy recomendable! Me quedaría aquí horas, ...",Hace un año,"Juan Galpin
Local Guide · 978 reseñas · 8.745 fotos






Hace un año
WoW! Este establecimiento es de los más especiales de todo Madrid!!! Debe su nombre a los propietarios fundadores Hermanos Díez (HD)

Situado en la calle de Guzmán el Bueno en el barrio de Argüelles, pertenece al grupo ""La Musa"": Limbo, Ojalá, Run Run Run, La Musa (casi nada, es un grupo muy potente), pero este es especial. Es especial porque han conservado un bar clásico fundado en 1962 con la decoración de la época (suelos, madera, la barra, paredes y hasta una tele echando películas antiguas, ..., parece todo salido de Cuéntame), pero vitaminado, más bien con esteroides, anabolizantes, ...

Con una sola reseña no es suficiente, el pincho de tortilla magnífico (8,5/10), pero es que deben poner una de las mejores hamburguesas (gourmet) de todo Madrid, desayunos de tipo americano, tortitas, gofres, postres, menú del día, etc ...

Si te puedes sentar en el sillón como yo delante de los antiguos ventanales, observando el ajetreo del establecimiento, con los ventiladores de techo abanicándote y escuchando la preciosa música pop española, es una experiencia muy recomendable! Me quedaría aquí horas, ...
14 más

2

Compartir"
Luis SL,Local Guide · 324 reseñas · 1.401 fotos,5 estrellas,"Buena atención por parte del personal, nos han sentado rápido, la comida la han traído rápido también. Los nachos de entrantes están buenos, y la hamburguesa americana también está rica, las patatas muy crujientes también. De precio 25 euros por persona, recomendable comer en la terraza",Hace 2 años,"Luis SL
Local Guide · 324 reseñas · 1.401 fotos






Hace 2 años
Buena atención por parte del personal, nos han sentado rápido, la comida la han traído rápido también. Los nachos de entrantes están buenos, y la hamburguesa americana también está rica, las patatas muy crujientes también. De precio 25 euros por persona, recomendable comer en la terraza

Me gusta

Compartir"
